tickers,P/E,P/B
LMNL,-0.7487,3.8224
HOFV,,
KBNT,,
MBII,-10.9226,7.0133
SVRA,-2.9371,2.2634
VLDR,-10.4523,4.596
API,-1051.9071,4.9912
CDTX,-1.0435,7.0228
JFIN,5.5479,-3.0392
MNKD,-17.8827,-5.6735
HYMC,,
GDS,-107.441,2.8124
LYL,-3.478,1.9539
LVO,-6.5648,33.7438
SMID,,
PTIX,,
CBAT,-39.9688,5.9549
MRKR,-6.0503,6.3515
AMCX,8.8027,3.4249
NVOS,,
CRBP,-1.5401,3.785
CASI,-3.3584,1.9888
UPC,6.5849,2.3925
CRSP,-26.4339,5.5412
SIOX,-4.3813,1.1516
FGF,-1.564,2.104
CYCN,-1.6187,2.1168
SY,838.3773,1.8751
APPH,,
TRIB,-7.1657,-20.6285
NSPR,-2.8223,2.4466
DADA,-19.7024,4.7803
STSA,-3.4736,2.2967
VERO,-1.5307,2.8275
BBQ,29.4987,5.1728
PSTV,-2.7868,7.5771
MTCR,-2.0037,0.8372
BLCT,-5.8194,1.705
MAXN,-3.7897,1.2494
KRKR,-1.6588,1.2206
JNCE,-5.8895,1.222
KPLT,,
MDJH,222.1575,6.1711
GBOX,,
SONM,-1.1736,1.2365
CLNE,-169.776,3.2612
COGT,-3.1946,1.9306
FTFT,1.7114,17.3374
EDIT,-24.638,7.26
RCON,-9.9069,1.7329
ZIVO,,
KRMD,-125.168,4.1959
NBSE,-6.6245,3.68
TBLT,,
QUIK,-5.4716,4.8862
TRKA,-5.605,11.6697
NMRD,-28.2292,21.138
GLBS,,0.2051
GRTS,-3.1364,1.981
TCOM,-33.2158,1.0747
BLDE,,
PCSA,,
KLDO,-2.8322,11.2784
UCL,-3.2632,3.6695
CYRN,-2.5676,3.6824
MGTA,-5.5592,2.8948
ESPR,-3.0306,-4.5255
VMAR,-23.1107,66.4075
BBI,-2.8388,2.1879
NVFY,-0.4904,0.3125
OTLY,-174.0375,32.2157
ALNA,,
DLTH,36.4111,2.5553
MOGO,-14.848,38.1266
PLBY,,
ZKIN,-95.0762,1.7446
MOR,15.201,2.395
PRTG,-11.5545,
GMVD,-2.8463,-5.6655
PDD,-104.342,12.4493
BOLT,-6.8285,-3.9513
FLXN,-2.6131,-17.8347
AXSM,-17.778,16.0762
IMUX,-5.2658,1.4597
RVPH,,
PRVB,-3.9022,3.4633
PALI,-2.0531,3.4199
ORGN,,
ACET,-6.4243,2.1455
ENVX,,
VIEW,,
DNAY,-25.6809,-18.167
EBON,-13.3884,3.9825
PMCB,,
ONTX,-3.1177,12.7015
NMTC,,
IQ,-8.1085,6.1653
MNTS,,
ALGS,-5.5428,2.7342
ATXI,-5.82,12.7084
ALJJ,-0.8067,3.2009
TAOP,-2.6684,-6.1603
FCEL,-22.9093,10.4929
BDSX,-8.0718,6.1471
JG,-7.8706,5.5145
TALK,,
TEDU,-0.9377,-0.6351
INFI,-4.645,-8.1815
ADXS,-2.2559,1.9785
BKEP,-10.563,-2.1502
INCR,,
MGPI,32.471,4.9902
EKSO,-3.8866,13.8712
CALA,-1.6033,1.4117
MBIN,5.8418,1.7637
AMWD,20.986,1.66
KELYA,-11.9951,0.7179
PRTC,228.3149,2.0403
ORPH,,
ACBI,21.6356,1.4403
LTRN,,
MDRR,,
IFRX,,
ALRS,10.7594,1.4559
BRKL,23.7235,1.1999
OFED,36.6049,1.6017
KZR,-5.6172,1.6632
SABR,-2.9889,10.6987
KURA,-14.01,2.0554
BLMN,-14.1251,540.8602
PCT,,
IDBA,,
IPHA,-3.2293,1.3247
NWLI,8.1885,0.2976
PLL,-1.5306,0.3611
MVST,,
RELI,,
RAIL,-0.9548,2.6436
POWL,20.4148,1.1092
UBSI,15.4406,1.0384
ELOX,-3.2908,11.1228
LGHL,-30.1147,8.338
HFFG,-0.7825,1.0306
VIRT,7.4685,3.3016
ITI,25.9931,3.3352
GASS,8.0869,0.1717
ONB,11.7779,0.8971
BIS,,
NMTR,-4.4298,8.4753
OTLK,-11.2112,139.7868
FBRX,-9.0737,7.1517
WISA,,
ZEUS,-59.6334,1.1084
WTRH,12.6016,2.2652
IBOC,14.8011,1.1371
SATS,-49.3907,0.5598
TPST,-2.7383,3.0156
IPA,,
SBSI,14.325,1.3445
ALIM,-11.4517,-2.2474
AAL,-1.4851,-1.9215
NEON,-11.1249,4.1259
PCTTU,,
PBCT,30.585,0.9127
OSBC,11.9474,1.0825
RAIN,-20.9017,-11.7773
UCBI,15.2162,1.3065
VRM,-24.9706,4.1268
HMST,9.8019,1.0924
ROOT,,
WSBC,17.2989,0.8082
EYPT,-5.2097,12.755
ELYS,,
AATC,33.627,1.8454
QURE,-10.6907,5.48
LESL,78.7056,-8.3964
PAAS,33.1791,2.2678
PENN,-16.0136,4.0717
HFWA,18.6844,1.0606
GCMG,-23.4857,-92.9887
HAPP,56.2065,0.4665
AKYA,-38.5687,-12.3248
BRQS,-1.2918,-0.7382
IRIX,-16.3099,5.9441
BELFB,13.2347,0.9114
MKSI,24.7783,3.6744
STRM,232.3069,3.9318
USAU,-5.8158,2.362
ALPN,-7.5665,3.4011
CTXR,-15.7226,8.1941
ASTR,,
CLVR,,
FRPT,-1991.8679,16.11
CRDL,,
TCBK,18.0781,1.2666
PROF,,
EQ,,
PPBI,59.5647,1.3088
SKYW,-239.5629,0.9534
ALHC,-170.1524,127.435
QMCO,-10.0154,-3.1639
GRCL,-25.0942,-9.0453
TZOO,-11.7569,83.4546
BMTC,23.8793,1.2483
WSFS,18.1321,1.1615
SBCF,21.6643,1.4904
AIKI,-6.3587,2.6486
CNSL,20.5376,1.9852
STRT,-21.0494,1.0516
IDCC,45.3601,2.6277
QTNT,-3.1917,-11.9213
TRIL,,
BTRS,,
FULC,-3.3712,2.5083
HRMY,-40.3617,15.3439
EBC,149.896,0.9942
UFCS,-5.5536,0.7586
ALVR,-17.8602,3.5301
OGI,-4.1167,1.8713
FMTX,-15.394,1.6721
RPHM,-10.2196,-4.7234
UPST,,
OPRA,6.208,1.0605
IFBD,19.341,9.9565
MOHO,-3.8092,0.6368
ATCX,-29.9748,-7.6268
RDIB,-7.2888,6.1108
AGMH,-249.6054,72.439
GBLI,-17.701,0.5205
PLTK,98.8644,-7.3224
RICK,-92.825,3.6985
LYTS,20.8173,1.5885
COLB,16.2513,1.0678
IZEA,-13.5679,4.3752
ARAV,-2.8145,1.7888
BANF,18.2645,1.7033
XCUR,-4.8212,1.9336
TESS,-6.1074,0.6957
USWS,-0.3821,-3.0083
MTLS,-144.533,7.7357
BWAY,-26.3947,7.2392
CSTE,63.3116,0.9377
TIG,7.6029,1.6828
DNLI,87.2595,5.3952
RWLK,-5.3408,3.1828
EVAX,,
UAL,-2.1388,2.5368
XNCR,-25.8926,3.136
RNST,23.6992,0.9295
BILI,-71.2647,28.2398
TAIT,19.4775,1.9989
EHTH,29.8569,1.6202
HGEN,,
CHUY,-200.3355,2.7285
QIPT,-411.7401,73.8314
EDSA,-62.606,43.7455
GLPG,-10.5416,1.2058
NKLA,,
GT,-3.5228,1.4352
KVHI,-9.7051,1.6145
GNPX,-7.8398,4.5499
CVGW,-73.1239,3.9143
ARKO,78.3159,4.7366
KDNY,-7.148,1.7436
BAOS,9.0167,1.503
PKOH,-82.0592,1.0728
WLTW,26.6997,2.4578
MERC,-44.5615,1.2778
OMP,,
ME,,
ALLK,-27.9903,6.5648
MTEM,-3.7456,6.6223
MARK,-9.4918,-14.2867
EZPW,-4.6835,0.494
MDGL,-7.1672,6.0404
ADV,-19.1753,1.275
MGNX,-11.7562,5.1549
IMNM,-10.7419,4.6343
BTAI,-8.7104,3.4627
SOTK,,
WRAP,-22.2656,6.035
CGEM,,
CDAK,-4.2036,26.4517
CMBM,62.851,18.4179
GOGO,-4.5499,-1.7745
ARCB,21.2477,1.8232
QTT,-2.6454,-2.2812
LVOX,,
QFIN,6.0364,2.2263
TANH,-5.7206,0.3773
BRCN,-643.8776,10.961
EJH,168.6256,29.0769
NVCR,805.8768,33.4983
SQQQ,,
NISN,-14.9157,2.5412
BSET,-21.4189,1.4124
TBPH,-3.4302,-3.1396
EXEL,47.4908,2.825
ONCR,-6.8346,2.4513
AGRX,-2.1522,2.2624
IPW,65.2244,44.2238
TRVG,-3.4501,1.274
IMRA,-2.3341,1.1434
TYME,-6.7745,1.9285
BRID,16.2002,1.6651
CARE,-6.5867,0.6862
JBLU,-3.4738,1.1905
MMAT,-76.6115,77.4506
SMED,75.5734,5.7898
MKD,-1.6122,-18.934
DFH,,
ORIC,-8.2943,2.1096
SCYX,-2.9236,7.0893
CUE,-7.3221,4.1555
BLU,-4.0362,0.8713
GRVY,5.4253,1.9229
FUTU,87.0408,13.8877
MNTK,,
NCMI,-4.2696,-0.5902
ALT,-7.3407,1.5939
EZGO,219.672,3.6451
XXII,-26.4939,11.839
BZUN,29.5426,2.0594
DTST,,
FNKO,237.6477,3.8855
QH,243.9646,1.5043
LIZI,-18.8015,9.1328
AKBA,-1.1243,1.741
EM,91.7055,-2.0112
TIGR,160.247,10.9227
FSTX,-4.1785,2.4899
SJ,6.5143,2.4965
