,COST,COST,COST,COST,COST,COST,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,ASML,ASML,ASML,ASML,ASML,ASML
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,282.3599853515625,288.79998779296875,280.8999938964844,286.7799987792969,276.03369140625,3745800,63.0,64.76000213623047,61.58000183105469,62.619998931884766,60.89961624145508,12880400,61.625,62.18000030517578,59.782501220703125,60.227500915527344,59.573631286621094,176218400,253.1300048828125,257.67999267578125,247.3800048828125,249.00999450683594,246.07977294921875,715700
2020-04-02,284.3800048828125,292.7799987792969,282.82000732421875,291.4800109863281,280.5576477050781,3500600,65.75,68.69999694824219,62.90999984741211,65.0,63.2142333984375,18175000,60.084999084472656,61.287498474121094,59.224998474121094,61.23249816894531,60.56772232055664,165934000,243.8699951171875,251.9600067138672,242.25,247.27999877929688,244.37013244628906,788600
2020-04-03,289.1600036621094,292.3399963378906,285.79998779296875,288.6499938964844,277.8336486816406,2650100,64.47000122070312,64.75,60.900001525878906,63.04999923706055,61.317806243896484,14676500,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,59.69728088378906,129880000,246.05999755859375,248.0,242.47999572753906,244.61000061035156,241.73155212402344,571700
2020-04-06,293.0,305.489990234375,289.57000732421875,305.1199951171875,293.6864929199219,5272500,66.2699966430664,68.33999633789062,64.41000366210938,67.79000091552734,65.92758178710938,18010800,62.724998474121094,65.77749633789062,62.345001220703125,65.61750030517578,64.90512084960938,201820400,260.0,272.7799987792969,259.4200134277344,271.1300048828125,267.9394836425781,807600
2020-04-07,306.5,310.0,303.2200012207031,303.6300048828125,292.25238037109375,4036500,71.56999969482422,72.4800033569336,68.33000183105469,68.70999908447266,66.82229614257812,13799400,67.69999694824219,67.92500305175781,64.75,64.85749816894531,64.15337371826172,202887200,280.4599914550781,281.2799987792969,271.0,272.5899963378906,269.3822937011719,768200
2020-04-08,305.1099853515625,307.4200134277344,302.2799987792969,305.9700012207031,294.5046691894531,3964400,69.58000183105469,71.91999816894531,68.54000091552734,71.56999969482422,69.60372924804688,10417600,65.68499755859375,66.84249877929688,65.30750274658203,66.51750183105469,65.79534912109375,168895200,278.0299987792969,281.3399963378906,274.4100036621094,278.5799865722656,275.3017883300781,891700
2020-04-09,299.45001220703125,304.3500061035156,297.5799865722656,300.010009765625,288.7679748535156,6487600,71.19999694824219,74.26000213623047,70.13999938964844,73.87999725341797,71.85026550292969,19748100,67.17500305175781,67.51750183105469,66.17500305175781,66.99749755859375,66.2701416015625,161834800,282.2200012207031,285.1300048828125,275.1199951171875,276.80999755859375,273.55267333984375,728900
2020-04-13,298.5799865722656,303.95001220703125,297.6600036621094,299.6199951171875,288.3926086425781,3120400,73.5199966430664,73.5999984741211,70.3499984741211,71.76000213623047,69.78851318359375,11191800,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,67.57086181640625,131022800,274.8500061035156,276.1499938964844,272.010009765625,274.1000061035156,270.8745422363281,789400
2020-04-14,302.75,314.75,301.25,314.1400146484375,302.3685302734375,4288300,73.69000244140625,74.33000183105469,72.66000366210938,73.66999816894531,71.64603424072266,10912000,70.0,72.0625,69.51249694824219,71.76249694824219,70.9833984375,194994800,286.989990234375,294.760009765625,285.04998779296875,288.92999267578125,285.5299987792969,1700600
2020-04-15,311.6400146484375,313.75,306.82000732421875,310.2699890136719,298.6435546875,2937300,72.01000213623047,73.18000030517578,70.70999908447266,72.55000305175781,70.55682373046875,10642500,70.5999984741211,71.5824966430664,70.15750122070312,71.10749816894531,70.33551025390625,131154400,276.9200134277344,284.5400085449219,275.04998779296875,282.489990234375,279.165771484375,1487600
