State,Date,New Cases,Case 7-Day Moving Avg,Historic Cases
United States,Mar 31 2020,23128,20290,0
United States,Mar 30 2020,21742,18739,0
United States,Mar 29 2020,21390,17262,0
United States,Mar 28 2020,20828,15869,0
United States,Mar 27 2020,20694,14330,0
United States,Mar 26 2020,19394,12557,0
United States,Mar 25 2020,14857,10817,0
United States,Mar 24 2020,12272,9565,0
United States,Mar 23 2020,11399,8390,0
United States,Mar 22 2020,11640,7182,0
United States,Mar 21 2020,10058,5920,0
United States,Mar 20 2020,8282,4748,0
United States,Mar 19 2020,7216,3760,0
United States,Mar 18 2020,6092,2893,0
United States,Mar 17 2020,4048,2144,0
United States,Mar 16 2020,2939,1663,0
United States,Mar 15 2020,2809,1328,0
United States,Mar 14 2020,1853,977,0
United States,Mar 13 2020,1367,750,0
United States,Mar 12 2020,1144,586,0
United States,Mar 11 2020,853,446,0
United States,Mar 10 2020,676,345,0
United States,Mar  9 2020,596,272,0
United States,Mar  8 2020,355,198,0
United States,Mar  7 2020,262,160,0
United States,Mar  6 2020,218,128,0
United States,Mar  5 2020,165,104,0
United States,Mar  4 2020,143,85,0
United States,Mar  3 2020,171,71,0
United States,Mar  2 2020,78,50,0
United States,Mar  1 2020,86,42,0
United States,Feb 29 2020,36,33,0
United States,Feb 28 2020,51,31,0
United States,Feb 27 2020,35,26,0
United States,Feb 26 2020,44,23,0
United States,Feb 25 2020,24,20,0
United States,Feb 24 2020,19,17,0
United States,Feb 23 2020,23,17,0
United States,Feb 22 2020,26,16,0
United States,Feb 21 2020,17,13,0
United States,Feb 20 2020,14,11,0
United States,Feb 19 2020,17,10,0
United States,Feb 18 2020,7,9,0
United States,Feb 17 2020,18,9,0
United States,Feb 16 2020,13,8,0
United States,Feb 15 2020,5,10,0
United States,Feb 14 2020,6,11,0
United States,Feb 13 2020,6,11,0
United States,Feb 12 2020,8,10,0
United States,Feb 11 2020,9,10,0
United States,Feb 10 2020,9,9,0
United States,Feb  9 2020,33,12,0
United States,Feb  8 2020,8,7,0
United States,Feb  7 2020,5,7,0
United States,Feb  6 2020,2,6,0
United States,Feb  5 2020,5,6,0
United States,Feb  4 2020,7,5,0
United States,Feb  3 2020,26,4,477
United States,Feb  2 2020,0,1,0
United States,Feb  1 2020,4,1,0
United States,Jan 31 2020,3,1,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,1,1,0
United States,Jan 27 2020,0,1,0
United States,Jan 26 2020,3,1,0
United States,Jan 25 2020,0,1,0
United States,Jan 24 2020,1,1,0
United States,Jan 23 2020,1,1,0
